,E,xmax,Nevent,size_1,size_2,dist_1,dist_2,zenith,azimuth,xc_1,yc_1,xc_2,yc_2,a_1,b_1,a_2,b_2,Xint,Yint,theta_int,Xground,Yground,nwidth,errorON,source_x,source_y
4640,7.503769999999999,318.987,635414,203.296,75.9145,1.86599,0.966198,53.565842990749005,0.77995,0.00796283,1.8659700000000001,-0.812505,0.522853,0.450612,1.86238962,-10.3901,-7.91912664,-0.9022946334152222,1.4558048306475,108.75937297208176,-17.555623128988064,-25.059126928955397,-0.341681952225394,1.4948619637022251,-0.09998373339770401,0.19449221664700844
4641,16.718,452.88300000000004,635779,72.1206,574.045,2.8123299999999998,1.6854200000000001,51.68201505613837,0.356234,-0.538954,2.7602,-1.54714,0.6685810000000001,1.87972,3.77328456,-0.0437344,0.600917238,-1.6493072682149366,0.6730487017910192,64.49148561674015,-162.79129503924207,-335.04804966919164,1.7281839003413781,1.9729208083165097,0.2233993594072154,0.05225372537099604
4642,38.8253,315.251,635822,167.141,1081.48,2.68424,2.29508,55.30270725090858,0.678779,2.6616,0.34791700000000003,1.97602,-1.16737,0.88807,-2.0157687,-0.507278,-0.164975976,1.3264022480413489,-0.8378306555819195,68.50499685367937,-152.24181457577325,-170.27024540533327,2.121233631380237,1.4671058712887446,0.06688226259610427,-0.08549493010165396
4643,38.8253,315.251,635824,209.317,722.793,2.48411,3.44772,55.30270725090858,0.678779,1.85047,-1.65727,1.08764,-3.27166,0.7225010000000001,-2.99423268,-0.77978,-2.4235534800000003,0.3798751365423645,-2.7197725139730053,73.79454190959942,-137.62548624087347,-127.74590594503024,1.0567690633098854,2.8538117865878183,-0.03466280243208363,0.10377136038389419
4644,38.8253,315.251,635828,108.758,236.50099999999998,3.3428400000000003,3.38635,55.30270725090858,0.678779,-2.35272,2.37471,-3.20004,1.10774,-1.92025,-2.14309818,-0.338451,0.0246793428,-1.3704506848215228,0.48850974752852894,43.79261250152659,73.40976561081818,-61.41570510257347,1.785306254161967,1.540582259122246,0.08297216761330425,-0.02232849413160212
4645,21.8919,399.23800000000006,636143,209.248,90.8098,1.92662,3.0213799999999997,56.94022062939247,0.550491,1.74032,-0.826534,0.9815790000000001,-2.85748,-0.0213577,-0.7893655919999999,-6.584060000000001,3.60528876,0.669640972743804,-0.8036675830035702,80.14028741442176,-28.164050034717892,0.8294773325863573,2.2065685784697697,1.1593363927239848,-0.07935540673090656,0.08124218359867333
4646,21.8919,399.23800000000006,636147,174.132,284.099,2.91383,3.3484300000000005,56.94022062939247,0.550491,-2.29886,1.79043,-3.34562,0.137236,-4.74096,-9.108363240000001,-0.0326704,0.027933613199999995,-1.9404704530494472,0.0913295590893064,76.21810922650027,-1.2595532117117603,188.9189383835608,3.1140736395470774,1.88595949689605,-0.0570828044857565,-0.007129514490199243
4647,9.13242,276.774,636198,177.195,192.507,3.12335,1.46468,52.08073638576991,0.107964,2.24606,2.17037,1.27446,0.721831,0.458296,1.141011072,-0.736889,1.6609635,0.43503928513159057,1.3403878362186674,61.00789023660215,-189.5769054180335,-96.85323653015325,7.459619811968124,1.3727008118879573,0.1904719531147689,-0.010350605918829277
4648,5.05739,372.353,636241,78.7673,123.02,3.3887099999999997,2.4169400000000003,57.230309161067204,0.151928,3.10325,1.36132,2.34191,-0.5975550000000001,5.46815,-15.6076902,3.5142800000000003,-8.827678800000001,3.4700422238941186,3.367021186586623,5.5203067624525,-256.15916114870424,-1578.7693859654744,0.349567490507039,4.885352815352375,-0.11051563183142946,0.043427112053235226
4649,93.0731,368.135,636272,796.2,7171.64,2.57997,2.3052900000000003,56.40530723185834,0.381011,2.41059,0.919428,1.8005799999999998,-1.43953,1.6036299999999999,-2.94624594,-0.580345,-0.39456822599999997,1.168363975778111,-1.0726224175229477,88.1814661944405,-124.35282149812805,-251.36277670909035,7.708570014263167,1.6176320299064233,0.04161747851664367,0.08805657129704025
